user_id,date,age,gender,height_cm,activity_level,total_calories,total_protein,total_carbs,total_fat,sugar,fiber,sodium,health_score,weight_kg,p_pct,f_pct,c_pct,fiber_density,sugar_density,sodium_density
1,2026-01-06,46,other,173,active,2651.7,225.0,283.8,68.5,47,32,3653,10.0,95.97,0.33940491005769885,0.23249236338952373,0.42810272655277753,12.067730135384847,17.724478636346497,1377.6068182675265
1,2026-01-07,46,other,173,active,2904.7,235.2,331.6,70.8,38,28,2868,8.8,95.98,0.32392232474865723,0.21939126842032777,0.4566864068310151,9.639549695321376,13.082246015079011,987.3653045064896
1,2026-01-08,46,other,173,active,2693.7,227.3,279.0,74.3,37,28,1781,9.2,95.96,0.3375032480789933,0.24822747689223798,0.4142692750287687,10.394624494190149,13.735753795894125,661.172365148309
1,2026-01-09,46,other,173,active,3342.7,120.1,392.7,143.5,132,5,4875,2.0,96.03,0.143716157597152,0.3863643162712777,0.4699195261315703,1.4957968109611992,39.48903580937566,1458.401890687169
1,2026-01-10,46,other,173,active,3220.7,97.3,375.9,147.5,136,13,3043,1.8,96.08,0.12085830512685153,0.41222867434711047,0.4669130205260379,4.03638960474431,42.22684509578663,944.8256590182259
1,2026-01-11,46,other,173,active,2802.7,210.0,285.4,91.3,26,29,2224,9.3,96.07,0.29964684479006887,0.2931188242428566,0.4072343309670745,10.347165233524816,9.276768830056731,793.5205337710066
1,2026-01-12,46,other,173,active,2497.7,150.8,291.1,81.1,34,39,2418,10.0,96.02,0.24152152152152154,0.29225225225225226,0.4662262262262263,15.61436521599872,13.61252352163991,968.0906433919206
1,2026-01-13,46,other,173,active,2369.7,194.7,250.7,65.3,47,37,3342,10.0,95.96,0.32870468070738196,0.24804794665090954,0.42324737264170853,15.613790775203613,19.833734227961347,1410.3051019116344
1,2026-01-14,46,other,173,active,3307.7,83.2,415.9,145.7,74,12,2978,1.0,96.02,0.10061371950297791,0.3964386129334583,0.5029476675635638,3.627898539770838,22.3720409952535,900.3234876197963
1,2026-01-15,46,other,173,active,3533.7,94.9,357.0,191.8,63,12,1905,1.0,96.11,0.10741977474673156,0.4884826532344784,0.40409757201878993,3.395874013074115,17.828338568639104,539.0949995755158
1,2026-01-16,46,other,173,active,3311.7,113.1,407.6,136.6,110,5,3400,2.8,96.17,0.13658595495441098,0.3711732383310186,0.49224080671457043,1.5097985928677116,33.21556904308965,1026.663043150044
1,2026-01-17,46,other,173,active,2620.7,217.3,294.4,63.8,44,38,4596,8.9,96.14,0.33162914917970243,0.21907668828691337,0.44929416253338417,14.49994276338383,16.78940741023391,1753.72991948716
1,2026-01-18,46,other,173,active,2825.7,246.0,288.4,76.4,32,30,2960,9.2,96.14,0.3482939260937279,0.24338099957525133,0.40832507433102083,10.616838305552607,11.32462752592278,1047.5280461478571
1,2026-01-19,46,other,173,active,2863.7,153.9,359.2,90.2,24,28,4783,7.9,96.14,0.21492912506109907,0.2834299280776482,0.5016409468612526,9.777560498655586,8.380766141704788,1670.2168523239168
1,2026-01-20,46,other,173,active,2388.7,157.4,307.5,58.8,49,26,2387,9.3,96.08,0.2635632953784327,0.22153382451440054,0.5149028801071668,10.884581571566125,20.513249884874618,999.2883158203208
1,2026-01-21,46,other,173,active,2839.7,233.2,279.9,87.5,27,31,4209,9.1,96.08,0.32846226979823234,0.2772984964259305,0.3942392337758372,10.916646124590626,9.508046624643448,1482.1988238194176
1,2026-01-22,46,other,173,active,3145.7,88.6,416.1,125.2,134,15,3499,4.5,96.12,0.11266531027466936,0.35821464903357064,0.5291200406917599,4.768414025495121,42.597831961089746,1112.3120450138285
1,2026-01-23,46,other,173,active,3562.7,127.2,436.7,145.2,61,7,3597,3.2,96.21,0.14282506175611948,0.3668313496519201,0.49034358859196053,1.964801976029416,17.121845791113483,1009.6275296825442
1,2026-01-24,46,other,173,active,2624.7,204.0,295.6,69.6,32,31,3872,10.0,96.18,0.31088082901554404,0.2386467540384029,0.45047241694605306,11.810873623652228,12.191869546995848,1475.2162151864975
1,2026-01-25,46,other,173,active,2661.7,182.0,328.3,68.9,30,30,2019,8.7,96.16,0.27355052042234995,0.23300642543118025,0.4934430541464698,11.270992223015368,11.270992223015368,758.5377766089342
1,2026-01-26,46,other,173,active,2419.7,176.7,266.2,72.0,45,26,3999,8.8,96.11,0.29211439907422715,0.2678128616300215,0.44007273929575136,10.74513369425962,18.597346778526266,1652.6842170517007
1,2026-01-27,46,other,173,active,2481.7,181.0,289.3,66.7,20,25,4127,8.2,96.06,0.2917590167237558,0.24191013499899258,0.4663308482772517,10.073739775154129,8.058991820123303,1662.9729620824437
1,2026-01-28,46,other,173,active,2708.7,178.6,306.6,85.3,32,39,2309,10.0,96.04,0.26376223001661436,0.2834410190142145,0.45279675096917116,14.39805072544025,11.81378521061764,852.4384391036291
1,2026-01-29,46,other,173,active,3621.7,99.6,438.3,163.3,90,14,3834,1.0,96.14,0.1100157402037942,0.4058487283572198,0.48413553143898597,3.86558798354364,24.850208465637685,1058.6188806361654
1,2026-01-30,46,other,173,active,3172.7,112.6,330.0,155.8,138,7,3073,1.8,96.18,0.14196558028115738,0.4419718842589674,0.41606253545987515,2.2063226904529265,43.49607589750055,968.5756611088348
1,2026-01-31,46,other,173,active,3199.7,107.9,377.2,139.9,65,13,2851,5.1,96.23,0.13489607751211127,0.3935302390998594,0.47157368338802935,4.062880895083914,20.314404475419572,891.0210332218646
1,2026-02-01,46,other,173,active,2690.7,209.5,264.1,88.5,40,34,3801,10.0,96.21,0.31141997101341556,0.2959976216135865,0.3925824073729979,12.63611699557736,14.866019994796893,1412.6435500055748
1,2026-02-02,46,other,173,active,3341.7,118.6,349.9,163.0,77,7,1963,1.0,96.27,0.1419934151451661,0.43909009278659084,0.418916492068243,2.094742197085316,23.042164167938477,587.4255618397822
1,2026-02-03,46,other,173,active,3308.7,92.3,331.2,179.4,142,8,2423,1.0,96.33,0.111587982832618,0.48800096717644925,0.4004110499909327,2.4178680448514522,42.91715779611328,732.3117840843836
1,2026-02-04,46,other,173,active,2365.7,192.1,246.9,67.8,28,38,2500,10.0,96.27,0.32474008959513145,0.25788183585495733,0.41737807454991127,16.0628989305491,11.835820264615126,1056.7696664834934
1,2026-02-05,46,other,173,active,3248.7,108.3,393.4,138.0,87,8,2653,3.3,96.32,0.13334154149224328,0.38229500123122384,0.4843634572765328,2.462523470926832,26.7799427463293,816.6343460461107
1,2026-02-06,46,other,173,active,2779.7,232.2,304.7,70.2,47,38,2799,9.8,96.31,0.3341728430596531,0.2273152478952292,0.4385119090451176,13.67053998632946,16.90829945677591,1006.9431953088464
1,2026-02-07,46,other,173,active,2816.7,181.7,357.0,73.5,43,26,4335,8.1,96.31,0.2580690977523701,0.23488264744522955,0.5070482548024002,9.230659992189443,15.266091525544077,1539.035041005432
1,2026-02-08,46,other,173,active,2929.7,177.4,398.0,69.8,33,37,2745,9.8,96.32,0.24220083282135302,0.21441736637313127,0.5433818008055158,12.629279448407688,11.26395194047172,936.9560023210569
1,2026-02-09,46,other,173,active,3100.7,84.2,372.5,141.5,121,6,3970,1.0,96.35,0.10863464825984581,0.4107666999967745,0.4805986517433796,1.9350469248879287,39.02344631857323,1280.3560486341794
1,2026-02-10,46,other,173,active,3364.7,124.9,325.9,173.5,148,7,2061,1.0,96.42,0.1484827770677921,0.4640829791660475,0.3874342437661604,2.0804232175231077,43.98609088477428,612.5360359021607
1,2026-02-11,46,other,173,active,2566.7,177.0,310.9,68.3,41,34,1589,10.0,96.38,0.2758835677824105,0.23952772473989792,0.4845887074776916,13.246581213230998,15.97381852183738,619.0828690536487
1,2026-02-12,46,other,173,active,3307.7,83.1,336.5,181.0,125,15,1772,1.0,96.44,0.10050190481949567,0.49253189816774506,0.40696619701275927,4.534873174713548,37.790609789279564,535.719684372827
1,2026-02-13,46,other,173,active,3181.7,105.8,310.0,168.7,88,6,2661,1.9,96.49,0.13301901618733303,0.4772277227722772,0.38975326104038976,1.885784329132225,27.658170160605966,836.3453499701418
1,2026-02-14,46,other,173,active,2892.7,191.8,335.7,87.0,25,40,3364,10.0,96.49,0.2651918423781542,0.270653301071552,0.4641548565502938,13.827911639644624,8.64244477477789,1162.9273688941128
1,2026-02-15,46,other,173,active,2829.7,165.2,366.2,78.2,36,38,4011,9.0,96.49,0.23354774863928746,0.24874531702834524,0.5177069343323673,13.428985404813233,12.722196699296745,1417.4647489133124
