user_id,date,age,gender,height_cm,activity_level,total_calories,total_protein,total_carbs,total_fat,sugar,fiber,sodium,health_score,weight_kg
1,2026-01-06,46,other,173,active,2651.7,225.0,283.8,68.5,47,32,3653,10.0,95.97
1,2026-01-07,46,other,173,active,2904.7,235.2,331.6,70.8,38,28,2868,8.8,95.98
1,2026-01-08,46,other,173,active,2693.7,227.3,279.0,74.3,37,28,1781,9.2,95.96
1,2026-01-09,46,other,173,active,3342.7,120.1,392.7,143.5,132,5,4875,2.0,96.03
1,2026-01-10,46,other,173,active,3220.7,97.3,375.9,147.5,136,13,3043,1.8,96.08
1,2026-01-11,46,other,173,active,2802.7,210.0,285.4,91.3,26,29,2224,9.3,96.07
1,2026-01-12,46,other,173,active,2497.7,150.8,291.1,81.1,34,39,2418,10.0,96.02
1,2026-01-13,46,other,173,active,2369.7,194.7,250.7,65.3,47,37,3342,10.0,95.96
1,2026-01-14,46,other,173,active,3307.7,83.2,415.9,145.7,74,12,2978,1.0,96.02
1,2026-01-15,46,other,173,active,3533.7,94.9,357.0,191.8,63,12,1905,1.0,96.11
1,2026-01-16,46,other,173,active,3311.7,113.1,407.6,136.6,110,5,3400,2.8,96.17
1,2026-01-17,46,other,173,active,2620.7,217.3,294.4,63.8,44,38,4596,8.9,96.14
1,2026-01-18,46,other,173,active,2825.7,246.0,288.4,76.4,32,30,2960,9.2,96.14
1,2026-01-19,46,other,173,active,2863.7,153.9,359.2,90.2,24,28,4783,7.9,96.14
1,2026-01-20,46,other,173,active,2388.7,157.4,307.5,58.8,49,26,2387,9.3,96.08
1,2026-01-21,46,other,173,active,2839.7,233.2,279.9,87.5,27,31,4209,9.1,96.08
1,2026-01-22,46,other,173,active,3145.7,88.6,416.1,125.2,134,15,3499,4.5,96.12
1,2026-01-23,46,other,173,active,3562.7,127.2,436.7,145.2,61,7,3597,3.2,96.21
1,2026-01-24,46,other,173,active,2624.7,204.0,295.6,69.6,32,31,3872,10.0,96.18
1,2026-01-25,46,other,173,active,2661.7,182.0,328.3,68.9,30,30,2019,8.7,96.16
1,2026-01-26,46,other,173,active,2419.7,176.7,266.2,72.0,45,26,3999,8.8,96.11
1,2026-01-27,46,other,173,active,2481.7,181.0,289.3,66.7,20,25,4127,8.2,96.06
1,2026-01-28,46,other,173,active,2708.7,178.6,306.6,85.3,32,39,2309,10.0,96.04
1,2026-01-29,46,other,173,active,3621.7,99.6,438.3,163.3,90,14,3834,1.0,96.14
1,2026-01-30,46,other,173,active,3172.7,112.6,330.0,155.8,138,7,3073,1.8,96.18
1,2026-01-31,46,other,173,active,3199.7,107.9,377.2,139.9,65,13,2851,5.1,96.23
1,2026-02-01,46,other,173,active,2690.7,209.5,264.1,88.5,40,34,3801,10.0,96.21
1,2026-02-02,46,other,173,active,3341.7,118.6,349.9,163.0,77,7,1963,1.0,96.27
1,2026-02-03,46,other,173,active,3308.7,92.3,331.2,179.4,142,8,2423,1.0,96.33
1,2026-02-04,46,other,173,active,2365.7,192.1,246.9,67.8,28,38,2500,10.0,96.27
1,2026-02-05,46,other,173,active,3248.7,108.3,393.4,138.0,87,8,2653,3.3,96.32
1,2026-02-06,46,other,173,active,2779.7,232.2,304.7,70.2,47,38,2799,9.8,96.31
1,2026-02-07,46,other,173,active,2816.7,181.7,357.0,73.5,43,26,4335,8.1,96.31
1,2026-02-08,46,other,173,active,2929.7,177.4,398.0,69.8,33,37,2745,9.8,96.32
1,2026-02-09,46,other,173,active,3100.7,84.2,372.5,141.5,121,6,3970,1.0,96.35
1,2026-02-10,46,other,173,active,3364.7,124.9,325.9,173.5,148,7,2061,1.0,96.42
1,2026-02-11,46,other,173,active,2566.7,177.0,310.9,68.3,41,34,1589,10.0,96.38
1,2026-02-12,46,other,173,active,3307.7,83.1,336.5,181.0,125,15,1772,1.0,96.44
1,2026-02-13,46,other,173,active,3181.7,105.8,310.0,168.7,88,6,2661,1.9,96.49
1,2026-02-14,46,other,173,active,2892.7,191.8,335.7,87.0,25,40,3364,10.0,96.49
1,2026-02-15,46,other,173,active,2829.7,165.2,366.2,78.2,36,38,4011,9.0,96.49
1,2026-02-16,46,other,173,active,3543.7,98.2,385.4,178.8,142,15,3271,1.0,96.58
1,2026-02-17,46,other,173,active,2688.7,190.5,299.1,81.2,28,32,1631,10.0,96.56
1,2026-02-18,46,other,173,active,3399.7,99.5,334.5,184.9,149,6,1932,1.0,96.63
1,2026-02-19,46,other,173,active,3216.7,102.0,347.3,157.7,89,13,2035,2.0,96.68
1,2026-02-20,46,other,173,active,2518.7,147.7,303.3,79.4,43,31,3161,9.9,96.64
1,2026-02-21,46,other,173,active,2620.7,164.5,335.0,69.2,44,35,3467,10.0,96.61
1,2026-02-22,46,other,173,active,2669.7,215.3,311.7,62.4,47,29,3702,8.9,96.59
1,2026-02-23,46,other,173,active,2896.7,165.3,375.0,81.8,38,35,4701,9.2,96.59
1,2026-02-24,46,other,173,active,2440.7,159.3,274.5,78.4,31,31,4079,8.9,96.54
1,2026-02-25,46,other,173,active,2678.7,232.9,259.0,79.0,25,37,4703,8.9,96.52
1,2026-02-26,46,other,173,active,3266.7,116.2,329.3,165.0,67,14,2388,1.0,96.57
1,2026-02-27,46,other,173,active,2658.7,191.6,303.3,75.4,44,30,1587,8.9,96.55
1,2026-02-28,46,other,173,active,3587.7,102.7,362.5,191.9,110,13,1740,1.0,96.64
1,2026-03-01,46,other,173,active,2519.7,165.6,309.9,68.6,50,28,1893,8.9,96.6
1,2026-03-02,46,other,173,active,2416.7,184.8,290.8,57.2,24,32,4430,9.1,96.55
1,2026-03-03,46,other,173,active,3546.7,108.8,363.2,184.3,64,6,1636,1.0,96.64
1,2026-03-04,46,other,173,active,2717.7,222.0,298.9,70.5,47,31,4684,9.0,96.62
1,2026-03-05,46,other,173,active,2351.7,137.7,325.3,55.5,33,30,3617,9.1,96.56
1,2026-03-06,46,other,173,active,2759.7,173.4,338.1,79.3,39,28,4611,8.3,96.55
2,2026-01-06,29,male,168,sedentary,2643.0,73.6,300.7,127.4,144,12,4629,1.0,94.05
2,2026-01-07,29,male,168,sedentary,2241.0,188.6,220.0,67.4,26,25,4064,8.0,94.06
2,2026-01-08,29,male,168,sedentary,1884.0,96.2,275.5,44.1,37,30,4332,8.2,94.01
2,2026-01-09,29,male,168,sedentary,1967.0,161.8,189.6,62.4,41,26,2075,9.0,93.98
2,2026-01-10,29,male,168,sedentary,2579.0,82.5,289.1,121.4,115,5,3696,2.1,94.03
2,2026-01-11,29,male,168,sedentary,2645.0,79.8,260.6,142.6,89,8,1685,1.0,94.08
2,2026-01-12,29,male,168,sedentary,2164.0,168.6,222.6,66.6,26,37,3261,9.8,94.08
2,2026-01-13,29,male,168,sedentary,2703.0,74.1,285.0,140.8,131,6,4912,1.0,94.14
2,2026-01-14,29,male,168,sedentary,2964.0,107.3,285.2,154.9,90,8,4722,1.0,94.24
2,2026-01-15,29,male,168,sedentary,2631.0,90.7,239.1,145.8,85,5,2476,1.0,94.29
2,2026-01-16,29,male,168,sedentary,2101.0,172.6,221.2,58.4,39,36,2182,9.7,94.27
2,2026-01-17,29,male,168,sedentary,1918.0,160.7,205.7,50.3,26,33,3273,9.8,94.23
2,2026-01-18,29,male,168,sedentary,2101.0,162.0,212.9,66.8,39,30,1756,8.9,94.22
2,2026-01-19,29,male,168,sedentary,2047.0,168.5,240.8,45.5,40,35,1888,10.0,94.2
2,2026-01-20,29,male,168,sedentary,2102.0,181.6,188.4,69.1,33,32,3629,9.7,94.18
2,2026-01-21,29,male,168,sedentary,1948.0,127.0,229.0,58.2,31,27,2261,9.3,94.15
2,2026-01-22,29,male,168,sedentary,2469.0,75.9,319.7,98.5,82,5,3428,4.9,94.18
2,2026-01-23,29,male,168,sedentary,2425.0,78.2,299.3,101.7,145,14,2253,4.7,94.2
2,2026-01-24,29,male,168,sedentary,2566.0,94.7,290.3,114.0,134,13,2863,4.9,94.25
2,2026-01-25,29,male,168,sedentary,2183.0,169.8,224.8,67.2,27,32,4802,9.3,94.24
2,2026-01-26,29,male,168,sedentary,2009.0,106.4,248.2,65.6,24,25,2144,8.9,94.22
2,2026-01-27,29,male,168,sedentary,1899.0,128.9,203.5,63.3,46,34,2053,10.0,94.18
2,2026-01-28,29,male,168,sedentary,2225.0,113.2,314.1,57.3,21,28,2436,9.2,94.18
2,2026-01-29,29,male,168,sedentary,1896.0,146.6,231.3,42.7,36,28,4579,8.1,94.13
2,2026-01-30,29,male,168,sedentary,2129.0,179.9,232.3,53.4,43,25,4001,8.0,94.12
2,2026-01-31,29,male,168,sedentary,1776.0,137.6,207.0,44.2,49,40,4035,9.0,94.06
2,2026-02-01,29,male,168,sedentary,1944.0,127.7,222.8,60.2,22,37,2099,9.7,94.03
2,2026-02-02,29,male,168,sedentary,2121.0,159.5,252.1,52.8,22,40,4732,9.2,94.02
2,2026-02-03,29,male,168,sedentary,2630.0,73.7,279.8,135.1,76,15,4393,1.0,94.07
2,2026-02-04,29,male,168,sedentary,1862.0,133.2,221.3,49.3,48,25,3979,9.1,94.02
2,2026-02-05,29,male,168,sedentary,2504.0,79.9,242.2,135.1,120,11,2550,1.9,94.06
2,2026-02-06,29,male,168,sedentary,2276.0,144.3,265.2,70.9,26,30,3229,8.9,94.07
2,2026-02-07,29,male,168,sedentary,1933.0,144.5,207.6,58.3,31,38,1912,9.8,94.03
